threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.43,2,mad05,0.9175,1.0,0.95875
0.43,4,mad05,0.9785,1.0,0.98925
0.43,6,mad05,0.996,1.0,0.998
0.43,8,mad05,0.998,1.0,0.999
0.43,10,mad05,0.9995,1.0,0.99975
0.43,12,mad05,1.0,1.0,1.0
0.43,16,mad05,1.0,1.0,1.0
0.43,20,mad05,1.0,1.0,1.0
0.44,2,mad05,0.8445,1.0,0.92225
0.44,4,mad05,0.9335,1.0,0.96675
0.44,6,mad05,0.9765,1.0,0.9882500000000001
0.44,8,mad05,0.978,1.0,0.989
0.44,10,mad05,0.9955,1.0,0.99775
0.44,12,mad05,0.9965,1.0,0.9982500000000001
0.44,16,mad05,0.9985,1.0,0.99925
0.44,20,mad05,0.9995,1.0,0.99975
0.45,2,mad05,0.7415,1.0,0.87075
0.45,4,mad05,0.7845,1.0,0.89225
0.45,6,mad05,0.877,1.0,0.9385
0.45,8,mad05,0.8985,1.0,0.9492499999999999
0.45,10,mad05,0.9045,1.0,0.95225
0.45,12,mad05,0.94,1.0,0.97
0.45,16,mad05,0.962,1.0,0.981
0.45,20,mad05,0.9785,1.0,0.98925
0.46,2,mad05,0.594,1.0,0.7969999999999999
0.46,4,mad05,0.6275,1.0,0.81375
0.46,6,mad05,0.668,1.0,0.8340000000000001
0.46,8,mad05,0.6675,1.0,0.83375
0.46,10,mad05,0.6765,1.0,0.8382499999999999
0.46,12,mad05,0.701,1.0,0.8505
0.46,16,mad05,0.727,1.0,0.8634999999999999
0.46,20,mad05,0.771,1.0,0.8855
0.47000000000000003,2,mad05,0.397,1.0,0.6985
0.47000000000000003,4,mad05,0.388,1.0,0.694
0.47000000000000003,6,mad05,0.3825,1.0,0.69125
0.47000000000000003,8,mad05,0.36,1.0,0.6799999999999999
0.47000000000000003,10,mad05,0.343,1.0,0.6715
0.47000000000000003,12,mad05,0.34,1.0,0.67
0.47000000000000003,16,mad05,0.293,1.0,0.6465
0.47000000000000003,20,mad05,0.2695,1.0,0.63475
0.48,2,mad05,0.3335,1.0,0.66675
0.48,4,mad05,0.213,1.0,0.6065
0.48,6,mad05,0.1465,1.0,0.57325
0.48,8,mad05,0.1205,1.0,0.56025
0.48,10,mad05,0.0825,1.0,0.54125
0.48,12,mad05,0.0715,1.0,0.53575
0.48,16,mad05,0.04,1.0,0.52
0.48,20,mad05,0.023,1.0,0.5115
0.49,2,mad05,0.261,1.0,0.6305000000000001
0.49,4,mad05,0.086,1.0,0.543
0.49,6,mad05,0.029,1.0,0.5145
0.49,8,mad05,0.024,1.0,0.512
0.49,10,mad05,0.0065,1.0,0.50325
0.49,12,mad05,0.0025,1.0,0.50125
0.49,16,mad05,0.0005,1.0,0.50025
0.49,20,mad05,0.0,1.0,0.5
0.5,2,mad05,0.0,1.0,0.5
0.5,4,mad05,0.0,1.0,0.5
0.5,6,mad05,0.0,1.0,0.5
0.5,8,mad05,0.0,1.0,0.5
0.5,10,mad05,0.0,1.0,0.5
0.5,12,mad05,0.0,1.0,0.5
0.5,16,mad05,0.0,1.0,0.5
0.5,20,mad05,0.0,1.0,0.5
